Ativo,Data,Último (R$),Var. Dia (%),Var. Sem. (%),Var. Mês (%),Var. Ano (%),Var. 12M (%),Val. Mín,Val. Máx,Volume,Variação Dia %,Valor Inicial (R$),Var Semanal %,Vlr Inicial Sem (R$),Qtd de Ações,Var Dia (R$),Var Sem (R$),Resultado Dia,Resultado Semana,Nome da Empresa,Segmento,Idade,Cat_Idade
VIVT3,1/26/2024,"51,20","0,88","1,09","-4,19","-4,19","32,78","50,62","51,26","64,92 M","0,009","50,75","0,01","50,65",423.091.712,"188.965.307,06","233.573.076,10",Subiu,Subiu,Vivo,Telecomunicações,21,Menos de 50 anos
RAIL3,1/26/2024,"22,64","0,84","1,07","-1,35","-1,35","20,93","22,32","22,83","178,44 M","0,008","22,45","0,01","22,40",1.218.352.541,"229.771.333,63","292.018.864,50",Subiu,Subiu,Rumo,Logística,22,Menos de 50 anos
CIEL3,1/26/2024,"4,90","0,82","9,38","5,83","5,83","-2,19","4,82","4,97","144,47 M","0,008","4,86","0,09","4,48",1.095.462.329,"43.657.683,38","460.318.518,61",Subiu,Subiu,Cielo,Meios de Pagamento,23,Menos de 50 anos
DXCO3,1/26/2024,"7,81","0,77","3,17","-3,22","-3,22","9,94","7,7","7,85","21,5 M","0,008","7,75","0,03","7,57",302.768.240,"18.068.446,61","72.655.280,17",Subiu,Subiu,Dexco,Tecnologia,5,Menos de 50 anos
TIMS3,1/26/2024,"17,52","0,74","-0,57","-2,29","-2,29","56,87","17,36","17,58","62,54 M","0,007","17,39","-0,01","17,62",807.896.814,"103.972.807,37","-81.142.318,65",Subiu,Desceu,TIM,Telecomunicações,26,Menos de 50 anos
BRAP4,1/26/2024,"23,22","0,73","1,93","-9,51","-9,51","-20,4","22,69","23,28","69,45 M","0,007","23,05","0,02","22,78",251.003.438,"42.238.249,54","110.356.309,94",Subiu,Subiu,Bradespar,Investimentos,21,Menos de 50 anos
LWSA3,1/26/2024,"5,55","0,72","-3,65","-7,65","-7,65","-14,03","5,46","5,6","56,4 M","0,007","5,51","-0,04","5,76",393.173.139,"15.598.886,65","-82.664.295,42",Subiu,Desceu,Locaweb,Tecnologia,23,Menos de 50 anos
RECV3,1/26/2024,"23,83","0,71","1,49","9,71","9,71","-26,61","23,36","23,99","58,9 M","0,007","23,66","0,01","23,48",275.005.663,"46.201.006,00","96.211.878,75",Subiu,Subiu,PetroRecôncavo,Energia/Petróleo,13,Menos de 50 anos
ITSA4,1/26/2024,"10,01","0,70","-0,3","-3,47","-3,47",29,"9,93","10,06","168,56 M","0,007","9,94","0,00","10,04",5.372.783.971,"373.853.994,88","-161.830.193,23",Subiu,Desceu,Itaúsa,Investimentos,54,Entre 50 e 100 anos
BBAS3,1/26/2024,"56,97","0,68","1,88","2,85","2,85","52,87","56,55","56,99","465,62 M","0,007","56,59","0,02","55,92",1.420.949.112,"546.752.087,99","1.493.804.135,37",Subiu,Subiu,Banco do Brasil,Serviços Bancários,212,Mais de 100 anos
RADL3,1/26/2024,"26,16","0,61","-2,75","-11,02","-11,02","10,07","25,87","26,38","100,44 M","0,006","26,00","-0,03","26,90",1.275.798.515,"202.352.473,74","-943.762.932,33",Subiu,Desceu,RaiaDrogasil,Farmácias,116,Mais de 100 anos
GOAU4,1/26/2024,"10,08","0,59","3,28","-7,18","-7,18","-21,14","10,03","10,14","37,01 M","0,006","10,02","0,03","9,76",660.411.219,"39.045.606,94","211.413.438,10",Subiu,Subiu,Metalúrgica Gerdau,Siderurgia,120,Mais de 100 anos
